,calculated,truth
0,84.4,84.4
1,68.81203476579674,64.1
2,58.894782551103475,55.4
3,51.775619478553644,48.2
4,46.33630881244332,43.4
5,42.12178647174167,39.6
6,38.73229900965695,36.9
7,35.83320783977254,34.3
8,33.64279573266426,32.4
9,31.730046709144297,30.8
10,30.025391878776148,29.4
11,28.75011691998735,27.8
12,27.58211911200814,26.9
13,26.59540699484611,26.2
14,25.796825028256585,25.3
15,25.043009528174984,24.9
16,24.480098959647783,24.4
17,23.94218560532781,23.9
18,23.49616162346765,23.6
19,23.2,23.2
20,22.677590199591712,23.0
